index,Tahun,Comments,preprocessed
156,2020,Aaaaa ganteng polll,a ganteng pol
157,2020,Kaloo bisa dua kenapa harus 1??😋,kalo wajah nikmat
158,2020,Kembar ya????😮,kembar ya wajah dengan mulut buka
159,2020,Buka air putih sama gorengan 1 alhamdulillah,buka air putih goreng alhamdulillah
160,2020,Dua² nya😮,dua nya wajah dengan mulut buka
161,2020,Kak aku buka puasa boleh minta martabak gk,kak buka puasa martabak
162,2020,Galfok belakang babinya terbang😂eh babi apa bukan si wkwk,galfok babi terbang wajah gembira urai air mata eh babi sih wkwk
163,2020,Kalo bisa 2 kenapa harus 1? Wkwkwkwk,kalo wkwkwkwk
164,2020,"Kalo  bisa 22nya kenapa harus pilih satu😂 aseeekk, 22nya gantng!!!! ♡",kalo duaduanya pilih wajah gembira urai air mata aseek duaduanya ganteng
165,2020,Kk beliin adek bila umur 11 thun baju lebaran kumohon kk Willie😢mama aku nggak punya uang,belikan adek umur baju lebaran mohon willie wajah menang mama uang
166,2020,Ada babi terbangn😂,babi terbangn wajah gembira urai air mata
167,2020,Yang mana yaa wkwk,ya wkwk
168,2020,klo bisa dua"nya kenapa satu,kalo nya
169,2020,Bang willie keren bismillah iPhone😢,bang willie keren bismillah iphone wajah menang
170,2020,Bg willie keren bismillah hoodie😢,bang willie keren bismillah hoodie wajah menang
171,2020,Yang dipilihi oleh yang maha kuasa aja😂😂,pilih maha kuasa wajah gembira urai air mata wajah gembira urai air mata
172,2020,"Kenapa harus milih, kalo cuman halu😭",pilih kalo cuman halu wajah menang keras
173,2020,Ngeship jadinya😍,ngeship wajah senyum lebar mata hati
174,2020,  HAHAHAH 🤩,hahahah wajah dengan mata bentuk bintang
175,2020,Kaos itemmm,kaos item
176,2020,Kalo bisa dua kenapa harus satu:v,kalo v
177,2020,KALO BISA DUA DUANYA KENAPA HARUS SATU,kalo dua
178,2020,  hayo🐒🐒🐒,hayo monyet monyet monyet
179,2020,  hehhh🤡,heh badut
180,2020,Homo guys😂,homo guys wajah gembira urai air mata
181,2020,Kemeja tentu nay,kemeja nay
182,2020,salfok sama BABI TERBANG😭😂,salah fokus babi terbang wajah menang keras wajah gembira urai air mata
183,2020,Ikut dong kak foto sama kakak sam,kak foto kakak
184,2020,asik asik,asik asik
185,2020,Sapa aku napa ka,sapa kak
186,2020,KEKURSI BOLEH GA KO WILL?,kurs wil
187,2020,Mas 😍,mas wajah senyum lebar mata hati
188,2020,Ada yang gei di tiktok💩,gei tiktok kotor
189,2020,"  biar proo,ya elah malu maluin nih diri ku,terhura di notice😭😭😢❤️",biar pro ya elah malu maluin nih ku terhura notice wajah menang keras wajah menang keras wajah menang hati merah
190,2020,Kek dua orang ngempet boker sumpa☺️,kayak orang ngempet berak sumpa wajah senyum
191,2020,Mana nih komenan iko,nih komentar iko
192,2020,Hai kak😂😂😂,hai kak wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata
193,2020,Kok ada babi 😂😂,babi wajah gembira urai air mata wajah gembira urai air mata
194,2020,"yg kemeja ajh,eh yg kaos item aj deh...gjadi klo blh 2 knp hrs 1?🙂🤣",kemeja eh kaos item deh gjadi kalo wajah agak senyum tertawa terbahakbahak
195,2020,Pilih babi terbang😭🔥,pilih babi terbang wajah menang keras api
196,2020,mau dong ikut ko will ke surabaya☺️,wil surabaya wajah senyum
197,2020,Kaos kakaa,kaos kakak
198,2020,  hey piggie,hey piggie
199,2020,Kumau diaaaaaa😂,mau wajah gembira urai air mata
200,2020,saya Robby s dari Magelang  mengikuti di FB cukup lama . saya cuma punya FB Sama wa saja . ig dan tik tok saya gak mau karena boros paketan lagi pula hp saya dulu realme c2 sama sekarang infinix jadi lemot kalo banyak aplikasi .. dulu saya berharap dapat hadiah di FB dari Willy . ternyata sampai sekarang belom dapat .. dan saya niatkan untuk download ig saja untuk mengikuti dan melihat di Ig Willy dari 0 supaya bisa dapat hadiah dari Willy aminn,robby si magelang ikut fb fb wa ig tik tok boros paket hp realme c infinix lot kalo aplikasi harap hadiah fb willy niat download ig ikut ig willy hadiah willy amin
201,2020,Miror ceritanya ya😁,miror cerita ya wajah gembira dengan mata bahagia
202,2020,   wil beliin iphone😢,wil belikan iphone wajah menang
203,2020,Gitu ya kalo artis di krubutin terus😮😂😂,ya kalo artis krubutin wajah dengan mulut buka wajah gembira urai air mata wajah gembira urai air mata
204,2020,Assalamu"alaikum kokoh willie nama aku ricky hidayat dari bekasi kec tambun selatan. kokoh willie beliin aku motor dong vespa spirint iget 150. aku pengen banget punya motor biar gak kemana-mana jalan. aku pengen banget punya motor buat aku pake kerja. kerja aku sebagai seniman jalanan cita-cita aku pengen banget punya motor biar lebih mudah. aku udah lama banget jalan kalo kemana-mana main tapi jalan itu sehat alhamdulillah kan kalo punya kendaraan biar gak ngabisin waktu.  sebelumnya aku punya motor mio cuma dipake sama kaka aku buat kerja dan uang hasil aku kerja sebagai seniman jalanan buat ibu dan bayar kontrakan serta listerik #semogadibacayaallah sama kokoh willie ammin :'( :'( wassalamu"alaikum,assalamu alaikum kokoh willie nama ricky hidayat bekas kec tambun selatan kokoh willie belikan motor vespa spirint iget pengin banget motor biar kemanamana jalan pengin banget motor pakai kerja kerja seniman jalan citacita pengin banget motor biar mudah banget jalan kalo kemanamana main jalan sehat alhamdulillah kalo kendara biar ngabisin motor mio pakai kakak kerja uang hasil kerja seniman jalan bayar kontra listerik kokoh willie amin wassalamu alaikum
205,2020,"  kak,semangat ya kak ✊",kak semangat ya kak tangan kepal ke atas
206,2020,Masyaallah tabarokallah ❤️,masyaallah tabarokallah hati merah
207,2020,Ganteng rambut dulu😍,ganteng rambut wajah senyum lebar mata hati
208,2020,nk poto iki ka wil koyo mirip sinjar to sa?😂  ,nk poto iki kak wil koyo sinjar sa wajah gembira urai air mata
209,2020,Baca DM ku dong bang  ,baca dm ku bang
210,2020,Bismillahirrahmanirrahim doa yg terbaik buat kak  ,bismillahirrahmanirrahim doa baik kak
211,2020,Kaaa Willie ganteng bnget stelanya juga keren abis,kak willie ganteng banget stela keren habis
212,2020,Ihh gantengg bnget,ih ganteng banget
213,2020,Bismillah Pen Di baca Dm nya ama Kaj willie😭,bismillah pengin baca dm nya kak willie wajah menang keras
214,2020,Hallo kak willy 😢follback dong❤️,halo kak willy wajah menang follback hati merah
215,2020,Bismillah di baca sma kak,bismillah baca kak
216,2020,Bolehlah jaketnya lempar kesini😂😂😂😂😂 ,jaket lempar kesini wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata
217,2020,Paling ganteng ❤️,ganteng hati merah
218,2020,Gantengnya gaada obat🔥,ganteng obat api
219,2020,bismillah cuma mau dm di baca:(,bismillah dm baca
220,2020,dengann kekuatan doa sepenuhnyaaa,kuat doa sepenuh
221,2020,Semoga kaka bls dm aku amin😭,moga kakak balas dm amin wajah menang keras
222,2020,Bang buka dm ig : Kahfii.nurrr,bang buka dm ig kahfinur
223,2020,KO WILL BAIK BISMILLAH GOPAYㅠㅠ,wil bismillah gopay
224,2020,hai kaa,hai kak
225,2020,Tapi ga bakal dah soal ny banyak yg notice ny,deh nya notice nya
226,2020,mirip brandon salim yaa sekilass😮,brandon salim ya kilas wajah dengan mulut buka
227,2020,Yg depan aduhay😍,aduhay wajah senyum lebar mata hati
228,2020,Damage pisan photonya,damage pis photonya
229,2020,kak baca dmku kakk🥺🥺🙏🏻🙏🏻,kak baca dmku kak wajah memelas wajah memelas lipat tangan warna kulit cerah lipat tangan warna kulit cerah
230,2020,Yang megang hp jodoh gw☺️,pegang hp jodoh gue wajah senyum
231,2020,Dkira ardhito dong 😭,dkira ardhito wajah menang keras
232,2020,holla hyung minta follback nya hyungg,holla hyung follback nya hyung
233,2020,"  steal some covers, share sum skin~~",steal some covers share sum skin
234,2020, .tann a whole new worlddd a new fantastic point of vieww,tan a whole new world a new fantastic point of view
235,2020,begayaan duluu👌🏼,begayaan oke warna kulit cerahsedang
236,2020,  id rather be someones everyday morning,id rather be someones everyday morning
237,2020,  i re read my caption,i re read my caption
238,2020,  KOK ADEK LU GA DI TAG AHAHAHAHAH,adek lu tag ahahahahah
239,2020,sunday morning rain is pouring  .k,sunday morning rain is pouring ke
240,2020,ga ada yg kredit gw,kredit gue
241,2020,willie ganteng,willie ganteng
242,2020,  next post smua bagus,next post bagus
243,2020, .xyz tiap malming skarang ikut youth,xyz malming youth
244,2020,  jason elton lebih ganteng,jason elton ganteng
245,2020, .k 👏,ke tepuk tangan
246,2020,  tumben muji,tumben muji
247,2020,  first like nya itu gw WKKWW,first like nya gue wkkw
248,2020,yg bagus cmn elu doang,bagus cuman lu doang
249,2020,Tapi kerjaannya kelayapan malming trus 🤔,kerja layap malming wajah pikir
250,2020,Willie raja ganteng??😂😂😂🤣,willie raja ganteng wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata tertawa terbahakbahak
251,2020,Ad cameo gw di blkg,cameo gue blkg
252,2020,Wiih keren,wih keren
253,2020,Rela terjun ke bawah nih kak😂 bismillah kak wilie lagi baik hati dan semoga rezeki anak pesantren😢,rela terjun nih kak wajah gembira urai air mata bismillah kak wilie hati moga rezeki anak pesantren wajah menang
254,2020,Bismillah dapat bantuan dari kk wilie,bismillah bantu wilie
255,2020,semoga saja Willy membaca komentar saya ini,moga willy baca komentar
256,2020,Agar silaturahmi ga tertiban pohon adakah iPhone,silaturahmi tertib pohon ada iphone
257,2020,smlm mimpiin ka willy dapet ipone 🤣🤣 semoga kenytaan aamiin 😇 bismillah dari cianjur,smlm mimpiin kak willy ipone tertawa terbahakbahak tertawa terbahakbahak moga kenytaan amin wajah malaikat bismillah cianjur
258,2020,Kenapa disini rambutnya lurus yahh😮😂😂,rambut lurus ya wajah dengan mulut buka wajah gembira urai air mata wajah gembira urai air mata
